epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,175.281,1.08341,2.10047,1.12104,0.9903,1,0.995,0.98396,0.34602,2.4939,0.67061,0.00065,0.00065,0.00065
2,351.156,1.09632,1.47812,1.06683,0.99192,1,0.995,0.8955,0.53723,2.11697,0.98953,0.00130363,0.00130363,0.00130363
3,516.669,1.13976,1.38516,1.11864,0.81837,1,0.995,0.63868,0.75805,2.29736,0.81679,0.00194406,0.00194406,0.00194406
4,687.954,1.1257,1.20206,1.10214,0.99419,1,0.995,0.8955,0.57857,0.9612,0.77749,0.0019406,0.0019406,0.0019406
5,853.094,1.12767,1.07698,1.08785,0.99629,1,0.995,0.995,0.32556,0.58388,0.6992,0.0019208,0.0019208,0.0019208
6,1015.03,1.07035,0.986,1.08069,0.99712,1,0.995,0.8955,0.44248,0.7798,0.79099,0.001901,0.001901,0.001901
7,1185.47,1.05661,0.90193,1.08396,0.99669,1,0.995,0.995,0.36731,0.39269,0.72448,0.0018812,0.0018812,0.0018812
8,1379.11,1.03988,0.86051,1.09754,0.99752,1,0.995,0.995,0.28343,0.42865,0.68727,0.0018614,0.0018614,0.0018614
9,1570.53,1.04054,0.81989,1.07079,0.99735,1,0.995,0.8955,0.35536,0.3492,0.72264,0.0018416,0.0018416,0.0018416
10,1746.68,1.00981,0.79042,1.06015,0.99738,1,0.995,0.995,0.39051,0.39484,0.72112,0.0018218,0.0018218,0.0018218
11,1904.02,1.05404,0.78742,1.10214,0.99725,1,0.995,0.995,0.25433,0.4863,0.71119,0.001802,0.001802,0.001802
12,2067.23,0.96911,0.74565,1.05455,0.9975,1,0.995,0.995,0.32247,0.36696,0.68289,0.0017822,0.0017822,0.0017822
13,2230.45,0.95777,0.71258,1.04402,0.99742,1,0.995,0.995,0.34904,0.25984,0.68238,0.0017624,0.0017624,0.0017624
14,2397.13,0.97602,0.72516,1.06039,0.99746,1,0.995,0.9804,0.25799,0.33515,0.67183,0.0017426,0.0017426,0.0017426
15,2563.64,0.93089,0.66773,1.02848,0.99744,1,0.995,0.995,0.26402,0.29405,0.68074,0.0017228,0.0017228,0.0017228
16,2731.05,0.95434,0.69133,1.04633,0.99747,1,0.995,0.995,0.25555,0.28213,0.67443,0.001703,0.001703,0.001703
17,2900.3,0.93598,0.67227,1.03199,0.99739,1,0.995,0.796,0.44973,0.42298,0.69595,0.0016832,0.0016832,0.0016832
18,3069.26,0.91067,0.64668,1.05145,0.99754,1,0.995,0.995,0.20723,0.33863,0.6667,0.0016634,0.0016634,0.0016634
19,3238.02,0.92858,0.64438,1.03807,0.9975,1,0.995,0.995,0.29775,0.26453,0.67751,0.0016436,0.0016436,0.0016436
20,3413.1,0.94101,0.63523,1.05032,1,1,0.995,0.89814,0.40344,0.29087,0.69069,0.0016238,0.0016238,0.0016238
21,3588.33,0.91011,0.63761,1.03342,0.99746,1,0.995,0.995,0.24081,0.26273,0.67579,0.001604,0.001604,0.001604
22,3764.83,0.87809,0.62585,1.00567,0.99659,1,0.995,0.89043,0.56705,0.38523,0.75686,0.0015842,0.0015842,0.0015842
23,3940.67,0.93689,0.63916,1.04253,0.9975,1,0.995,0.8955,0.28961,0.30963,0.677,0.0015644,0.0015644,0.0015644
24,4110.77,0.87316,0.59214,1.02721,0.99738,1,0.995,0.995,0.19258,0.23544,0.66174,0.0015446,0.0015446,0.0015446
25,4280.5,0.88871,0.61392,1.01937,0.9975,1,0.995,0.995,0.19712,0.19245,0.66965,0.0015248,0.0015248,0.0015248
26,4453.77,0.88268,0.58395,1.00618,0.99749,1,0.995,0.995,0.28353,0.20095,0.67295,0.001505,0.001505,0.001505
27,4626.81,0.93921,0.60175,1.05206,0.99755,1,0.995,0.995,0.22463,0.22484,0.666,0.0014852,0.0014852,0.0014852
28,4802.02,0.91238,0.58611,1.02805,0.99751,1,0.995,0.995,0.18303,0.21229,0.66685,0.0014654,0.0014654,0.0014654
29,4971.78,0.86958,0.58171,0.99896,1,1,0.995,0.995,0.19672,0.18045,0.65912,0.0014456,0.0014456,0.0014456
30,5153.39,0.87956,0.57615,1.01007,0.99753,1,0.995,0.995,0.12218,0.25947,0.65668,0.0014258,0.0014258,0.0014258
31,5341.63,0.84733,0.56149,1.00574,0.99754,1,0.995,0.995,0.24363,0.19215,0.67719,0.001406,0.001406,0.001406
32,5537.42,0.82222,0.55272,0.9898,1,1,0.995,0.995,0.1763,0.17462,0.66186,0.0013862,0.0013862,0.0013862
33,5726.41,0.83368,0.56202,0.99761,1,1,0.995,0.995,0.15072,0.17856,0.65521,0.0013664,0.0013664,0.0013664
34,5919.34,0.84133,0.53744,1.01505,0.99746,1,0.995,0.995,0.22445,0.25322,0.6655,0.0013466,0.0013466,0.0013466
35,6108.25,0.84327,0.54198,1.00605,0.99747,1,0.995,0.995,0.17872,0.22339,0.66303,0.0013268,0.0013268,0.0013268
36,6303.02,0.83178,0.54466,1.00323,0.99753,1,0.995,0.995,0.28253,0.21438,0.67158,0.001307,0.001307,0.001307
37,6491.5,0.87023,0.56788,1.00702,0.99752,1,0.995,0.995,0.20962,0.22774,0.66286,0.0012872,0.0012872,0.0012872
38,6679.2,0.79731,0.52654,0.98752,0.99748,1,0.995,0.995,0.23544,0.20038,0.67149,0.0012674,0.0012674,0.0012674
39,6868.13,0.82467,0.52104,1.0036,0.9975,1,0.995,0.995,0.31817,0.15738,0.69275,0.0012476,0.0012476,0.0012476
40,7059.87,0.81797,0.5182,1.00646,1,1,0.995,0.995,0.12209,0.16692,0.65571,0.0012278,0.0012278,0.0012278
41,7250.92,0.80616,0.50973,0.98808,0.99744,1,0.995,0.995,0.22584,0.16327,0.6733,0.001208,0.001208,0.001208
42,7441.58,0.80435,0.49591,0.99966,0.99748,1,0.995,0.995,0.22716,0.18998,0.67099,0.0011882,0.0011882,0.0011882
43,7635.13,0.82325,0.51402,1.00966,1,1,0.995,0.995,0.20145,0.24391,0.65913,0.0011684,0.0011684,0.0011684
44,7822.2,0.78252,0.50458,0.98621,1,1,0.995,0.995,0.13693,0.16165,0.65654,0.0011486,0.0011486,0.0011486
45,8015.06,0.788,0.50643,0.97702,0.99737,1,0.995,0.995,0.1921,0.20363,0.65882,0.0011288,0.0011288,0.0011288
46,8202.39,0.80177,0.50062,0.9957,0.9975,1,0.995,0.995,0.1199,0.14361,0.65396,0.001109,0.001109,0.001109
47,8387.16,0.79263,0.49344,0.99593,1,1,0.995,0.995,0.11211,0.15359,0.65396,0.0010892,0.0010892,0.0010892
48,8563.4,0.78355,0.47679,0.98656,1,1,0.995,0.995,0.10272,0.1359,0.65536,0.0010694,0.0010694,0.0010694
49,8753,0.76545,0.48923,0.97786,0.99752,1,0.995,0.995,0.18766,0.20566,0.65575,0.0010496,0.0010496,0.0010496
50,8947.04,0.76534,0.46477,0.98701,1,1,0.995,0.995,0.19693,0.16138,0.65641,0.0010298,0.0010298,0.0010298
51,9132.41,0.78886,0.48557,0.98897,1,1,0.995,0.995,0.23423,0.18608,0.66357,0.00101,0.00101,0.00101
52,9319.34,0.80408,0.49164,0.99864,0.99746,1,0.995,0.995,0.10583,0.13409,0.65186,0.0009902,0.0009902,0.0009902
53,9512.09,0.78981,0.50032,0.98818,0.99748,1,0.995,0.995,0.11393,0.17003,0.65223,0.0009704,0.0009704,0.0009704
54,9704.41,0.73854,0.47461,0.97418,0.99745,1,0.995,0.995,0.18737,0.16061,0.66044,0.0009506,0.0009506,0.0009506
55,9891.33,0.74421,0.47089,0.97513,1,1,0.995,0.995,0.10886,0.15911,0.65086,0.0009308,0.0009308,0.0009308
56,10080.1,0.76445,0.47076,0.97867,0.99752,1,0.995,0.995,0.13263,0.16292,0.65291,0.000911,0.000911,0.000911
57,10269.9,0.73763,0.46715,0.97125,1,1,0.995,0.995,0.18731,0.14323,0.65731,0.0008912,0.0008912,0.0008912
58,10456.1,0.74742,0.45159,0.97847,1,1,0.995,0.995,0.06711,0.0873,0.64697,0.0008714,0.0008714,0.0008714
59,10643.6,0.73404,0.47895,0.96199,1,1,0.995,0.995,0.16221,0.08768,0.65276,0.0008516,0.0008516,0.0008516
60,10833.1,0.75075,0.45371,0.96181,1,1,0.995,0.995,0.13553,0.08859,0.65116,0.0008318,0.0008318,0.0008318
61,11025.4,0.73097,0.43668,0.94781,1,1,0.995,0.995,0.12014,0.15583,0.65107,0.000812,0.000812,0.000812
62,11213.2,0.77578,0.4691,0.98772,0.99753,1,0.995,0.995,0.12553,0.09513,0.6499,0.0007922,0.0007922,0.0007922
63,11400.1,0.71021,0.42884,0.95397,1,1,0.995,0.995,0.1738,0.12699,0.65359,0.0007724,0.0007724,0.0007724
64,11590.8,0.71291,0.43556,0.97184,1,1,0.995,0.995,0.11087,0.07825,0.64879,0.0007526,0.0007526,0.0007526
65,11785.6,0.68474,0.42738,0.95035,0.99748,1,0.995,0.995,0.10471,0.09885,0.64974,0.0007328,0.0007328,0.0007328
66,11974,0.70849,0.43679,0.95176,0.9975,1,0.995,0.995,0.17259,0.11548,0.65385,0.000713,0.000713,0.000713
67,12167.8,0.67556,0.42466,0.93891,1,1,0.995,0.995,0.10251,0.0813,0.6483,0.0006932,0.0006932,0.0006932
68,12361.3,0.68513,0.41988,0.94438,1,1,0.995,0.995,0.16131,0.17216,0.65041,0.0006734,0.0006734,0.0006734
69,12557.1,0.70001,0.41332,0.95772,1,1,0.995,0.995,0.12944,0.13879,0.6508,0.0006536,0.0006536,0.0006536
70,12749.3,0.66491,0.40801,0.9477,1,1,0.995,0.995,0.1748,0.15856,0.65679,0.0006338,0.0006338,0.0006338
71,12944.7,0.69017,0.41338,0.95111,1,1,0.995,0.995,0.10127,0.15427,0.64798,0.000614,0.000614,0.000614
72,13138.5,0.7,0.41034,0.95516,1,1,0.995,0.995,0.10305,0.14698,0.64773,0.0005942,0.0005942,0.0005942
73,13332.6,0.67427,0.41107,0.93939,1,1,0.995,0.995,0.12175,0.15957,0.65308,0.0005744,0.0005744,0.0005744
74,13526.8,0.68114,0.39989,0.95116,1,1,0.995,0.995,0.13726,0.22753,0.65004,0.0005546,0.0005546,0.0005546
75,13713.3,0.68186,0.41169,0.94619,1,1,0.995,0.995,0.21298,0.16093,0.65877,0.0005348,0.0005348,0.0005348
76,13906.6,0.68037,0.40275,0.94459,1,1,0.995,0.995,0.09114,0.08936,0.64636,0.000515,0.000515,0.000515
77,14091.9,0.65157,0.39484,0.94857,1,1,0.995,0.995,0.07113,0.15077,0.64582,0.0004952,0.0004952,0.0004952
78,14277.5,0.66381,0.3875,0.94427,1,1,0.995,0.995,0.11314,0.10885,0.64818,0.0004754,0.0004754,0.0004754
79,14471.4,0.67273,0.41027,0.95421,1,1,0.995,0.995,0.0952,0.09975,0.64722,0.0004556,0.0004556,0.0004556
80,14660,0.62238,0.38067,0.91573,1,1,0.995,0.995,0.09022,0.07954,0.64688,0.0004358,0.0004358,0.0004358
81,14848.9,0.63297,0.38722,0.93475,1,1,0.995,0.995,0.1096,0.10854,0.64793,0.000416,0.000416,0.000416
82,15040.8,0.65974,0.3832,0.93991,1,1,0.995,0.995,0.08164,0.07011,0.64618,0.0003962,0.0003962,0.0003962
83,172.321,0.6542,0.37864,0.93619,1,1,0.995,0.995,0.08005,0.09314,0.64549,0.0003764,0.0003764,0.0003764
84,366.575,0.63552,0.37599,0.93695,1,1,0.995,0.995,0.0638,0.07988,0.6453,0.0003566,0.0003566,0.0003566
85,593.545,0.64155,0.37851,0.93044,1,1,0.995,0.995,0.10057,0.09848,0.64638,0.0003368,0.0003368,0.0003368
86,829.02,0.64477,0.36415,0.9369,1,1,0.995,0.995,0.11212,0.11097,0.64783,0.000317,0.000317,0.000317
